 close,Short-Term Trend,Distance From S or R,Broken Thru S or R,Change In BTC Dominance,EMA,ATR,MACD,MACD Signal,MACD Histogram,RSI,Average Gain,Average Loss
97.75,-1,-18.650001529999997,0.0,30.36,1.2347621284910486,0.10222142122762153,0.050473776032492035,0.05049880148345769,-2.5025450965655188e-05,62.535983431239494,4.874794396964491,2.9203886792311495
112.5,-1,-33.40000153,0.0,29.459999999999994,1.0607259115555556,0.07640635673015876,0.04137627048112563,0.04346091800617271,-0.0020846475250470794,69.71394380175671,4.773545124476067,2.0737867924363407
115.9100037,1,0.0,-115.9100037,29.159999999999997,1.0253028426545923,0.07001245037612626,0.037953958227550565,0.04157827133844532,-0.003624313110894756,65.38797151551255,3.358494303524245,1.7777627567325958
112.3000031,1,0.0,-112.3000031,0.14999999999999147,1.0509794869052858,0.06302633349106804,0.03715757033482547,0.042195188457369,-0.00503761812254353,67.41095378714166,3.473897006309903,1.6794153430141525
111.5,0,0.0,0.0,0.06999999999999318,1.0520179343298455,0.05453939903907754,0.030392667102732716,0.04115290556900417,-0.010760238466271449,72.25675230107389,3.473897006309903,1.3338156235563485
113.5660019,0,0.0,0.0,-0.07000000000000739,1.0295915850146697,0.050918785895149914,0.02404174317250838,0.03713174749807629,-0.013090004325567907,68.29731718061291,3.078312160367078,1.4289105058270453
112.6699982,0,0.0,0.0,-0.21999999999999886,1.0343448830293043,0.05102448502315045,0.018810214142998626,0.03370367182858565,-0.014893457685587025,65.2029203394776,2.677498766926258,1.4289105058270453
117.1999969,1,0.0,-117.1999969,-0.2599999999999909,0.9948350619367635,0.04763957201825783,0.013949285178519621,0.028710626624121112,-0.014761341445601489,62.38673026266861,2.635621773179118,1.5890294660864845
115.2429962,0,0.0,0.0,-0.28999999999999204,1.0108266480626134,0.04761182373205751,0.008204146863765064,0.024999370627646574,-0.016795223763881508,64.04784989491252,2.8308159713679664,1.5890294660864845
115.0,0,0.0,0.0,-0.1599999999999966,1.0120366399378882,0.04856397745341616,-0.001077736149046191,0.019826208417107388,-0.02090394456615358,67.2055861940963,2.8308159713679664,1.3813576464504895
117.9800034,0,0.0,0.0,0.28000000000000114,0.9882775233683615,0.05131257304962193,-0.010303903596389217,0.013399561048892335,-0.023703464645281554,63.07129336265363,2.642052063584631,1.5469409358027386
111.5,-1,-32.40000153,0.0,0.1700000000000017,1.039617825036088,0.05136707610506086,-0.02438781778332138,0.006465075066523709,-0.030852892849845086,59.921853405252484,2.6282914460040105,1.7579070719704455
114.2200012,0,0.0,0.0,0.20999999999999375,1.0128792514784235,0.04552742898112615,-0.02941450388564128,-0.0008340066265833255,-0.028580497259057955,73.62816482866629,2.6282914460040105,0.9413906887063674
118.7600021,0,0.0,0.0,0.28999999999999204,0.9776040611634895,0.043029157565644266,-0.030480136504126374,-0.006737726433224704,-0.023742410070901672,73.6528203907788,2.631631937126767,0.9413906887063674
123.0149994,1,2.2850037000000043,0.0,0.4199999999999875,0.9512842021971505,0.03850458917521008,-0.03123340947972963,-0.01145042068722696,-0.01978298879250267,67.4069437811829,2.439752749879554,1.1796855646648703
123.4980011,1,1.8020020000000017,0.0,0.539999999999992,0.9545552255974423,0.03814057833940346,-0.034847995152256284,-0.01609410942849994,-0.018753885723756348,61.46136899242827,1.8813613221150365,1.1796855646648703
121.9899979,0,0.0,0.0,0.29000000000000625,0.9708411270281517,0.04412831484862485,-0.04047006607533193,-0.021128461141092004,-0.01934160493423992,55.1677309723281,1.6932548422680938,1.3760300683573279
122.0,0,0.0,0.0,0.12000000000000455,0.9746599954186734,0.045880552107728324,-0.044066489385941994,-0.025714681026250994,-0.018351808359691,44.47218410789615,1.6932548422680938,2.114192163617665
122.8799973,0,0.0,0.0,0.09999999999999432,0.9719893591035076,0.04726677692910863,-0.04636281039771602,-0.029696983655943233,-0.016665826741772784,44.827798537790116,1.6932548422680938,2.0839880683795693
123.8889999,0,0.0,0.0,0.10000000000000853,0.968863336773389,0.04778642873107664,-0.046080722238675,-0.0327802398841722,-0.0133004823545028,44.572632258943734,1.6758658689668255,2.0839880683795693
126.6999969,1,0.0,-1.3999938000000043,-0.3499999999999943,0.9543855122352765,0.04786276980338492,-0.041029245521133524,-0.03384822470073115,-0.007181020820402373,43.43106952687241,1.5999919025154856,2.0839880683795693
133.1999969,1,0.0,-7.899993800000004,-1.4199999999999875,0.9201042919548734,0.047912901426115345,-0.03507058664443571,-0.0327712948932247,-0.002299291751211001,39.97386200795042,1.4939217718821063,2.2433247608271416
131.9799957,1,0.0,-6.679992599999991,-1.2800000000000011,0.9381283056918381,0.04829139485806396,-0.030714543565217745,-0.032602290561236875,0.0018877469960191283,23.249837770752166,0.8323790913919515,2.7477710137372457
133.4799957,1,0.0,-8.179992599999991,-0.8500000000000085,0.937241164028767,0.05583178858313372,-0.026786117265620146,-0.031145957685648092,0.0043598404200279476,22.02632860322447,0.8323790913919515,2.9466396746773897
129.7449951,0,0.0,0.0,-1.0,0.9689921854398613,0.059825030584166224,-0.02509275579225798,-0.030652602289277457,0.00555984649701948,18.372604688235924,0.772466749406753,3.431982007395635
129.0,0,0.0,0.0,-0.8999999999999915,0.9779764974541759,0.06051382691029899,-0.0234409405882095,-0.02935188879252285,0.00591094820431335,31.648475992473124,1.624934760357722,3.5093875392189666
132.3000031,0,0.0,0.0,-1.1800000000000068,0.9597715030492711,0.05907190181205023,-0.024155404822684603,-0.02772688483763871,0.0035714800149541054,30.652617589552037,1.7353363881803776,3.9259627916060422
